type,cell,n,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,247,0.2871307776913499,0.22213153423237514,0.29547132034014173,0.22625751738504188,0.15932413527134254
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,246,0.3283585926205519,0.2444670523862636,0.316521174221796,0.24132281680975667,0.17129406731359517
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,250,0.32568395006311907,0.2612699373047225,0.34559517463661854,0.25347546029160917,0.19026348385746553
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,250,0.29122559492172306,0.20641892111448745,0.2927575267060464,0.2151235294822784,0.12857759450345516
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Refused,44,0.35567301726111616,0.2899837641938239,0.3777164782790857,0.30691546543461085,0.29072229377215647
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very conservative,68,0.32255830745709724,0.23276913497544757,0.30111397759493763,0.2698918208845528,0.22880196437731204
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,166,0.42105085059433234,0.3311615470580493,0.4142021794548335,0.3329829340442083,0.3013166103992538
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Conservative,121,0.41343231109203327,0.3147625846277952,0.41022386745700784,0.3218511063228479,0.2685426707541175
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Liberal,168,0.38186929164345884,0.3325656758371695,0.39530726753933443,0.303123509852606,0.23609216764225072
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,206,0.3123024123179234,0.23273434125011222,0.31628813046344073,0.2313334133558906,0.16530051613740981
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,82,0.3966185087329346,0.33090164267643085,0.37757595852081854,0.3133716383574454,0.24681946146254938
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Liberal,44,0.3588935203438468,0.284878713565311,0.39435054935867503,0.2820809847773328,0.23845638689336637
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,82,0.35231008635818273,0.27116673583617895,0.36512894682008784,0.2533051990104473,0.184460040554328
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Conservative,24,0.3406853855282817,0.3645327822598832,0.4403330565858183,0.41266303639462487,0.371063909472576
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Moderate,168,0.38988279275553644,0.2837613391957349,0.37920250014239054,0.2988253899141896,0.21375862399102566
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,250,0.3964023286405884,0.30569486217005915,0.38177215953503935,0.30813118641267756,0.2385576344907724
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,250,0.35386208645385114,0.259221002688514,0.3722012009205853,0.24799764952792502,0.16410651268866833
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,250,0.3005319821270174,0.2062544583790524,0.31139770855114707,0.20483636723973048,0.10390673098984374
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,246,0.36990681268341435,0.2724814804435606,0.3438249059338113,0.26698923352515685,0.19620672838180106
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,250,0.42263746876864017,0.3400312097514661,0.4002743023761961,0.3424650055886231,0.27883136074869913
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,250,0.413808527344215,0.3232233309150371,0.4088491795495872,0.3030707616286116,0.23218023273902516
RACExRELIG,RACExRELIG :: Asian | Agnostic,188,0.4531097005649255,0.37627513131348467,0.46809364095797956,0.3509004162230254,0.29853875958663045
RACExRELIG,RACExRELIG :: Asian | Hindu,245,0.35581964308473013,0.29393835135803276,0.33751195734579936,0.2806525117239455,0.2505527931179576
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,250,0.33077793484081436,0.259652059766363,0.34157914583092697,0.2370980753433504,0.16309612655211395
RACExRELIG,RACExRELIG :: Asian | Protestant,181,0.3657924007081206,0.3100129934365262,0.359854117844661,0.28115243274167745,0.24288933430718854
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,105,0.3192663838036727,0.25588639883296677,0.3071249246267349,0.2420109048811288,0.20538963770919708
RACExRELIG,RACExRELIG :: Black | Nothing in particular,250,0.29455379941454984,0.24700423281310785,0.3299223330056278,0.23082752986492314,0.18075868871548795
RACExRELIG,RACExRELIG :: Black | Protestant,250,0.3097062469999133,0.23700748656379456,0.33275654916352754,0.23086190241705618,0.1628643569615515
RACExRELIG,RACExRELIG :: Black | Roman Catholic,250,0.3938457897287789,0.32168692418739625,0.39150048195700965,0.3086220544977542,0.27295203964461706
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,57,0.4148831913545809,0.3153214174652778,0.41082508917086913,0.2697262582097655,0.17462017185302556
RACExRELIG,RACExRELIG :: Hispanic | Atheist,57,0.4131694838642474,0.364066231666014,0.4610355322265789,0.29801288508655277,0.22727004869598058
