attr_type,pair,qkey,layer,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_patch_to_realB,wd_ctrl_to_realB,shift_ke_realB,shift_ctrl_ke_realB
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,15,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1837888373359726,1.186077122776432,0.0011418908834457397,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,16,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,17,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1887786227342318,1.186077122776432,-0.003847894514813488,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,18,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1857658576618164,1.186077122776432,-0.0008351294423980526,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,19,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,20,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1830650134309815,1.186077122776432,0.0018657147884368896,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,21,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,22,1.589007407426834,1.1849307282194184,1.1539402951224682,1.186077122776432,1.186077122776432,-0.001146394557013597,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,23,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,24,1.589007407426834,1.1849307282194184,1.1539402951224682,1.186077122776432,1.186077122776432,-0.001146394557013597,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,25,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,26,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1830650134309815,1.186077122776432,0.0018657147884368896,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,27,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,28,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1830650134309815,1.186077122776432,0.0018657147884368896,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,29,1.589007407426834,1.1849307282194184,1.1539402951224682,1.186077122776432,1.186077122776432,-0.001146394557013597,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,30,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,31,1.589007407426834,1.1849307282194184,1.1539402951224682,1.186077122776432,1.186077122776432,-0.001146394557013597,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,0,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0492998668047395,1.049056707381402,0.0,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,1,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0460879811140504,1.049056707381402,0.003211885690689087,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,2,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0551820916892174,1.049056707381402,-0.005882224884477871,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,3,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0501770810214737,1.049056707381402,-0.0008772142167341457,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,4,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0531315599214741,1.049056707381402,-0.0038316931167345913,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,5,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.044505343684813,1.049056707381402,0.004794523119926453,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,6,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0447177881000884,1.049056707381402,0.004582078704651105,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,7,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0371264850072397,1.049056707381402,0.012173381797499827,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,8,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.048813475719986,1.049056707381402,0.00048639108475345694,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,9,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0225288549841574,1.049056707381402,0.02677101182058217,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,10,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0528959171716084,1.049056707381402,-0.0035960503668688304,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,11,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0262005457018908,1.049056707381402,0.023099321102848736,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,12,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0274436809497252,1.049056707381402,0.021856185855014365,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,13,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0515859220985129,1.049056707381402,-0.002286055293773348,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,14,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0449685760828462,1.049056707381402,0.0043312907218933105,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,15,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0481801127467976,1.049056707381402,0.0011197540579419574,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,16,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0501770810214737,1.049056707381402,-0.0008772142167341457,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,17,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0528959171716084,1.049056707381402,-0.0035960503668688304,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,18,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0501770810214737,1.049056707381402,-0.0008772142167341457,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,19,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.0520146114116868,1.049056707381402,-0.002714744606947317,0.00024315942333741347
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27c_W50,20,1.5760923773050308,1.0492998668047395,1.0231083788963762,1.049056707381402,1.049056707381402,0.00024315942333741347,0.00024315942333741347
