attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_ke_realB,shift_dari_realA
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL2F1E_W36,0.19651189260559354,0.1700103297464531,0.14346815763940662,patch_L11H16,0.1700103297464531,0.19651189260559354,0.026542172107046486,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL2F1E_W36,0.19651189260559354,0.1700103297464531,0.14346815763940662,patch_L18H14,0.1700103297464531,0.19651189260559354,0.026542172107046486,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL2F1E_W36,0.19651189260559354,0.1700103297464531,0.14346815763940662,patch_top3,0.16954590537296604,0.19604746823210648,0.02607774773355942,0.00046442437348706567,-0.00046442437348706567
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,BETTERPOL2F1E_W36,0.19651189260559354,0.1700103297464531,0.14346815763940662,patch_random,0.1700103297464531,0.19651189260559354,0.026542172107046486,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,CARS9C_W27,0.1117260501468097,0.20626218449258654,0.20696210112822033,patch_L11H16,0.20564934154258863,0.11111320719681178,0.026470850839414473,0.000612842949997916,-0.000612842949997916
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,CARS9C_W27,0.1117260501468097,0.20626218449258654,0.20696210112822033,patch_L18H14,0.20756882589687298,0.11303269155109613,0.026725588068118866,-0.001306641404286435,0.001306641404286435
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,CARS9C_W27,0.1117260501468097,0.20626218449258654,0.20696210112822033,patch_top3,0.20756882589687298,0.11303269155109613,0.026725588068118866,-0.001306641404286435,0.001306641404286435
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,CARS9C_W27,0.1117260501468097,0.20626218449258654,0.20696210112822033,patch_random,0.20626218449258654,0.1117260501468097,0.02890261935303179,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,COMPROMISEVAL_W92,0.30879187809914865,0.33534500197189787,0.34866302129281557,patch_L11H16,0.3334522985314362,0.306899174658687,0.015210722761379358,0.0018927034404616627,-0.0018927034404616627
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,COMPROMISEVAL_W92,0.30879187809914865,0.33534500197189787,0.34866302129281557,patch_L18H14,0.33534500197189787,0.30879187809914865,0.01331801932091764,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,COMPROMISEVAL_W92,0.30879187809914865,0.33534500197189787,0.34866302129281557,patch_top3,0.33534500197189787,0.30879187809914865,0.01331801932091764,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,COMPROMISEVAL_W92,0.30879187809914865,0.33534500197189787,0.34866302129281557,patch_random,0.3334522985314362,0.306899174658687,0.015210722761379358,0.0018927034404616627,-0.0018927034404616627
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,DNA3b_W50,0.5020705096149234,0.24287106478854836,0.2097720834654625,patch_L11H16,0.24287106478854836,0.5020705096149234,0.03309898132308586,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,DNA3b_W50,0.5020705096149234,0.24287106478854836,0.2097720834654625,patch_L18H14,0.24287106478854836,0.5020705096149234,0.03309898132308586,0.0,0.0
