component,layer,head,template,attr_type,rho
resid,9,-1,T3,RELIGxPOLPARTY,0.17014478005997635
resid,9,-1,Tmean,AGExPOLPARTY,0.48816895179124276
resid,9,-1,Tmean,EDUCATIONxINCOME,0.5064009647288591
resid,9,-1,Tmean,RACExPOLIDEOLOGY,0.3779992887466575
resid,9,-1,Tmean,RACExPOLPARTY,0.17513845659093571
resid,9,-1,Tmean,RACExRELIG,0.07477680105304732
resid,9,-1,Tmean,RELIGxPOLPARTY,0.2069401417331329
resid,10,-1,T0,AGExPOLPARTY,0.4885207671585379
resid,10,-1,T0,EDUCATIONxINCOME,0.5234803837328024
resid,10,-1,T0,RACExPOLIDEOLOGY,0.42682800597034937
resid,10,-1,T0,RACExPOLPARTY,0.23095457837843758
resid,10,-1,T0,RACExRELIG,0.08279517890202895
resid,10,-1,T0,RELIGxPOLPARTY,0.28030927038488956
resid,10,-1,T1,AGExPOLPARTY,0.484603889402651
resid,10,-1,T1,EDUCATIONxINCOME,0.5311332078746162
resid,10,-1,T1,RACExPOLIDEOLOGY,0.3966384791540525
resid,10,-1,T1,RACExPOLPARTY,0.18872319946433802
resid,10,-1,T1,RACExRELIG,0.09574677900782107
resid,10,-1,T1,RELIGxPOLPARTY,0.2241328285250686
resid,10,-1,T2,AGExPOLPARTY,0.46875544476163666
resid,10,-1,T2,EDUCATIONxINCOME,0.4859121645734306
resid,10,-1,T2,RACExPOLIDEOLOGY,0.26944845957275465
resid,10,-1,T2,RACExPOLPARTY,0.23013202331731777
resid,10,-1,T2,RACExRELIG,0.05685003967204444
resid,10,-1,T2,RELIGxPOLPARTY,0.07105164435843399
resid,10,-1,T3,AGExPOLPARTY,0.4737947810703228
resid,10,-1,T3,EDUCATIONxINCOME,0.5054633667800472
resid,10,-1,T3,RACExPOLIDEOLOGY,0.30410485458699643
resid,10,-1,T3,RACExPOLPARTY,0.1699330317534815
resid,10,-1,T3,RACExRELIG,0.06221615596780897
resid,10,-1,T3,RELIGxPOLPARTY,0.18862154979247364
resid,10,-1,Tmean,AGExPOLPARTY,0.4859776446463752
resid,10,-1,Tmean,EDUCATIONxINCOME,0.5299190833665677
resid,10,-1,Tmean,RACExPOLIDEOLOGY,0.39501783139117064
